"country","countryiso3","EN.POP.DNST_2013","EN.POP.DNST_2014","EN.POP.DNST_2015","EN.POP.DNST_2016","EN.POP.DNST_2017","EN.POP.DNST_2018"
"Afghanistan","AFG",49.4280381705113,51.1147780534877,52.7120715007812,54.1971142358239,55.5959930153479,56.937760009803
"Albania","ALB",105.660291970803,105.441751824818,105.135145985401,104.967189781022,104.870693430657,104.612262773723
"Algeria","DZA",16.0135581549623,16.3425424269652,16.680252672416,17.0259574932612,17.3777146120063,17.7300750711665
"American Samoa","ASM",278.565,278.955,279.06,278.705,278.1,277.325
"Andorra","AND",171.859574468085,168.53829787234,165.98085106383,164.46170212766,163.831914893617,163.842553191489
"Angola","AGO",20.8677147669848,21.6104748536135,22.3665524985963,23.1350637683484,23.9165380604797,24.7130520574316
"Antigua and Barbuda","ATG",207.990909090909,210.368181818182,212.65,214.834090909091,216.877272727273,218.831818181818
"Arab World","ARB",33.8037854447067,34.5339784528501,35.2568969470266,35.9687643273844,36.66980407291,37.3723653654038
"Argentina","ARG",15.421160233713,15.5916453818299,15.7606327351655,15.9281350828921,16.0941907925267,16.2585100979651
"Armenia","ARM",101.77674745346,102.297260273973,102.759149982438,103.131225851774,103.435511064278,103.680224798033
"Aruba","ABW",573.105555555556,576.522222222222,579.672222222222,582.622222222222,585.366666666667,588.027777777778
"Australia","AUS",3.01057352615753,3.05581479504836,3.10011259648803,3.14493553058884,3.19836141871706,3.24912948744283
"Austria","AUT",102.7471301857,103.563324191706,104.730792682674,105.869493435483,106.607445296677,107.206926667578
"Azerbaijan","AZE",113.92347542296,115.34881658409,116.731079539702,118.033288980283,119.197205757832,120.265319946776
"Bahamas, The","BHS",36.6801198801199,37.0262737262737,37.3832167832168,37.7553446553447,38.137962037962,38.5254745254745
"Bahrain","BHR",1707.82987012987,1732.91183714933,1763.30455808254,1832.63617490023,1920.40352364259,2017.27369979138
"Bangladesh","BGD",1173.57821310594,1187.06435430591,1200.40159791042,1213.57332718752,1226.63127448721,1239.57931166936
"Barbados","BRB",661.153488372093,662.383720930233,663.544186046512,664.641860465116,665.658139534884,666.606976744186
"Belarus","BLR",46.6516679260248,46.6786746775327,46.751941760932,46.8083514016087,46.792242075569,46.7287999040892
"Belgium","BEL",368.540521796565,370.180217965654,372.33143989432,374.221334214003,375.66571994716,377.214927344782
"Belize","BLZ",15.1562911003946,15.4917141604559,15.8234546251644,16.1508110477861,16.4738711091626,16.7939938623411
"Benin","BEN",88.724618659099,91.2277580702377,93.7916991841078,96.4177633912735,99.1061014544165,101.853919829727
"Bermuda","BMU",1203.72220096372,1206.27775647415,1208.12960829329,1195.46294185033,1182.85183096194,1184.59257167194
"Bhutan","BTN",18.6331035784084,18.8644439281988,19.0958367480163,19.3138899659506,19.5461414400175,19.7775277714448
"Bolivia","BOL",9.73172343764424,9.88324286901135,10.0339056586357,10.1835253392412,10.3321831440967,10.4801458506416
"Bosnia and Herzegovina","BIH",69.19150390625,68.00984375,66.97970703125,66.13802734375,65.45951171875,64.92048828125
"Botswana","BWA",3.63936265946747,3.68537751663049,3.74202177403702,3.81123992024421,3.89096748010516,3.97742487604327
"Brazil","BRA",24.0527082580574,24.2594327206771,24.4637884744692,24.6661407920901,24.8660384966033,25.0617162430876
"British Virgin Islands","VGB",192.313333333333,193.26,194.346666666667,195.7,197.18,198.68
"Brunei Darussalam","BRN",76.7402277039848,77.7550284629981,78.7299810246679,79.6584440227704,80.5451612903226,81.3969639468691
"Bulgaria","BGR",66.922577376566,66.5432756079587,66.1200350036846,65.6579034635225,65.1800571112749,64.7035372144436
"Burkina Faso","BFA",62.4004934210526,64.2763779239766,66.1938011695906,68.151966374269,70.1508918128655,72.1912828947368
"Burundi","BDI",371.506580996885,383.344898753894,395.639797507788,408.411137071651,421.61308411215,435.178271028037
"Cabo Verde","CPV",126.984615384615,128.602729528536,130.209181141439,131.798014888337,133.373945409429,134.929776674938
"Cambodia","KHM",85.1253795603898,86.531288239293,87.9301835486064,89.3173181509177,90.6946181735781,92.0564128710628
"Cameroon","CMR",46.7036830191872,47.9826066721669,49.2868100949842,50.615681919147,51.9685325040723,53.3439889149796
"Canada","CAN",3.85802116014608,3.89700291746531,3.92619659515413,3.97090749336615,4.01827985013488,4.07530821431988
"Caribbean small states","CSS",17.5949907373101,17.7187476843275,17.8392293442016,17.955751512906,18.0683957021119,18.1770161788317
"Cayman Islands","CYM",249.716666666667,253.533333333333,257.183333333333,260.704166666667,264.091666666667,267.391666666667
"Central African Republic","CAF",7.13978297858679,7.1658399948634,7.21238241998138,7.28384057273107,7.37748884394363,7.49041221227006
"Central Europe and the Baltics","CEB",93.8523755293138,93.6566150254285,93.4413112332841,93.2029953861731,92.9717949202581,92.7664366303472
"Chad","TCD",10.4990660736976,10.8509839580686,11.2063016200762,11.5642201397713,11.9256456480305,12.2917336404066
"Channel Islands","CHI",823.424274152672,828.787910722982,835.277809962951,843.045487029935,851.843467166921,861.106093786457
"Chile","CHL",23.6324815360804,23.884591723835,24.1675573408594,24.4899577081939,24.8414839222839,25.1894460666519
"China","CHN",144.583452998035,145.317352120725,146.057642237226,146.850677605209,147.674050750889,148.348833270666
"Colombia","COL",41.9083073456512,42.3336719242902,42.8307048219919,43.4172077512393,44.0748679585399,44.7487021180712
"Comoros","COM",398.44437167162,408.054795859382,417.74528452598,427.507777488981,437.341200057394,447.244477540227
"Congo, Dem. Rep.","COD",31.4765033854569,32.538958999581,33.6316111245892,34.7540314505635,35.9051472177499,37.0825923557045
"Congo, Rep.","COG",13.536635431918,13.8710805270864,14.219897510981,14.5856486090776,14.9654524158126,15.3568462664715
"Costa Rica","CRI",92.8732275754015,93.9168820994908,94.9432824128476,95.9527027027027,96.9438699569134,97.9130630630631
"Cote d'Ivoire","CIV",69.4575628930818,71.2191289308176,73.0381855345912,74.9141949685535,76.8473867924528,78.8340534591195
"Croatia","HRV",76.0487669764117,75.7396175839886,75.1180128663331,74.5952287348106,73.7049857040743,73.0771979985704
"Cuba","CUB",108.25868355402,108.699307825418,108.871188233032,108.970476831379,109.010373005191,108.999596231494
"Curacao","CUW",346.445945945946,351.146396396396,355.810810810811,359.603603603604,360.754504504505,NA
"Cyprus","CYP",123.795021645022,124.706168831169,125.647727272727,126.643614718615,127.670995670996,128.708333333333
"Czech Republic","CZE",136.159958559959,136.30337995338,136.589288952208,136.834136234136,137.198109298109,137.602887852888
"Denmark","DNK",133.720695403668,134.400452488688,135.353250773994,136.41366992141,137.294117647059,138.067301738509
"Djibouti","DJI",38.105823986195,38.7703192407248,39.4302415875755,40.0824849007765,40.7289473684211,41.3684210526316
"Dominica","DMA",94.688,94.78,94.9106666666667,95.076,95.2773333333333,95.5
"Dominican Republic","DOM",207.994700890085,210.415607534672,212.827157938315,215.22962119644,217.618112192093,219.97857586421
"Early-demographic dividend","EAR",91.7476605614921,93.0395095659666,94.3236637988016,95.6012442974214,96.8712264454453,98.13836364042
"East Asia & Pacific","EAS",92.3463423562311,92.9792527673597,93.6095942221792,94.2139504799982,94.8569852295584,95.4316055341949
"East Asia & Pacific (excluding high income)","EAP",126.240729833103,127.163047478317,128.080079863003,129.017302981745,129.962337637855,130.810431457567
"East Asia & Pacific (IDA & IBRD countries)","TEA",125.620232311366,126.541439265463,127.457466065032,128.393981707491,129.338478726806,130.185452991291
"Ecuador","ECU",63.2447817684007,64.2286922209696,65.27629247866,66.400044290546,67.5848002899018,68.7886817522951
"Egypt, Arab Rep.","EGY",88.8087196745191,90.8379667487066,92.8650831282335,94.8787704053443,96.8834125269978,98.8734692852479
"El Salvador","SLV",302.416505791506,303.818918918919,305.266602316602,306.763658301158,308.307046332046,309.881467181467
"Equatorial Guinea","GNQ",38.3747950089127,40.0098395721925,41.6601782531194,43.321889483066,44.9911229946524,46.6657397504456
"Eritrea","ERI",NA,NA,NA,NA,NA,NA
"Estonia","EST",30.3196917414309,30.2402806533241,30.26011042098,30.2689210950081,30.3055900621118,30.3861053600184
"Eswatini","SWZ",63.1883139534884,63.664011627907,64.1886046511628,64.766511627907,65.3926162790698,66.0576162790698
"Ethiopia","ETH",95.385785,98.094253,100.835458,103.603501,106.400024,109.224559
