"country","countryiso3","region","confirmed.01_22_2020","deaths.01_22_2020","recovered.01_22_2020","confirmed.01_23_2020","deaths.01_23_2020","recovered.01_23_2020","confirmed.01_24_2020","deaths.01_24_2020","recovered.01_24_2020","confirmed.01_25_2020","deaths.01_25_2020","recovered.01_25_2020","confirmed.01_26_2020","deaths.01_26_2020","recovered.01_26_2020","confirmed.01_27_2020","deaths.01_27_2020","recovered.01_27_2020","confirmed.01_28_2020","deaths.01_28_2020","recovered.01_28_2020","confirmed.01_29_2020","deaths.01_29_2020","recovered.01_29_2020","confirmed.01_30_2020","deaths.01_30_2020","recovered.01_30_2020","confirmed.01_31_2020","deaths.01_31_2020","recovered.01_31_2020","confirmed.02_01_2020","deaths.02_01_2020","recovered.02_01_2020","confirmed.02_02_2020","deaths.02_02_2020","recovered.02_02_2020","confirmed.02_03_2020","deaths.02_03_2020","recovered.02_03_2020","confirmed.02_04_2020","deaths.02_04_2020","recovered.02_04_2020","confirmed.02_05_2020","deaths.02_05_2020","recovered.02_05_2020","confirmed.02_06_2020","deaths.02_06_2020","recovered.02_06_2020","confirmed.02_07_2020","deaths.02_07_2020","recovered.02_07_2020","confirmed.02_08_2020","deaths.02_08_2020","recovered.02_08_2020","confirmed.02_09_2020","deaths.02_09_2020","recovered.02_09_2020","confirmed.02_10_2020","deaths.02_10_2020","recovered.02_10_2020","confirmed.02_11_2020","deaths.02_11_2020","recovered.02_11_2020","confirmed.02_12_2020","deaths.02_12_2020","recovered.02_12_2020","confirmed.02_13_2020","deaths.02_13_2020","recovered.02_13_2020","confirmed.02_14_2020","deaths.02_14_2020","recovered.02_14_2020","confirmed.02_15_2020","deaths.02_15_2020","recovered.02_15_2020","confirmed.02_16_2020","deaths.02_16_2020","recovered.02_16_2020","confirmed.02_17_2020","deaths.02_17_2020","recovered.02_17_2020","confirmed.02_18_2020","deaths.02_18_2020","recovered.02_18_2020","confirmed.02_19_2020","deaths.02_19_2020","recovered.02_19_2020","confirmed.02_20_2020","deaths.02_20_2020","recovered.02_20_2020","confirmed.02_21_2020","deaths.02_21_2020","recovered.02_21_2020","confirmed.02_22_2020","deaths.02_22_2020","recovered.02_22_2020","confirmed.02_23_2020","deaths.02_23_2020","recovered.02_23_2020","confirmed.02_24_2020","deaths.02_24_2020","recovered.02_24_2020","confirmed.02_25_2020","deaths.02_25_2020","recovered.02_25_2020","confirmed.02_26_2020","deaths.02_26_2020","recovered.02_26_2020","confirmed.02_27_2020","deaths.02_27_2020","recovered.02_27_2020","confirmed.02_28_2020","deaths.02_28_2020","recovered.02_28_2020","confirmed.02_29_2020","deaths.02_29_2020","recovered.02_29_2020","confirmed.03_01_2020","deaths.03_01_2020","recovered.03_01_2020","confirmed.03_02_2020","deaths.03_02_2020","recovered.03_02_2020","confirmed.03_03_2020","deaths.03_03_2020","recovered.03_03_2020","confirmed.03_04_2020","deaths.03_04_2020","recovered.03_04_2020","confirmed.03_05_2020","deaths.03_05_2020","recovered.03_05_2020","confirmed.03_06_2020","deaths.03_06_2020","recovered.03_06_2020","confirmed.03_07_2020","deaths.03_07_2020","recovered.03_07_2020","confirmed.03_08_2020","deaths.03_08_2020","recovered.03_08_2020","confirmed.03_09_2020","deaths.03_09_2020","recovered.03_09_2020","confirmed.03_10_2020","deaths.03_10_2020","recovered.03_10_2020","confirmed.03_11_2020","deaths.03_11_2020","recovered.03_11_2020","confirmed.03_12_2020","deaths.03_12_2020","recovered.03_12_2020","confirmed.03_13_2020","deaths.03_13_2020","recovered.03_13_2020","confirmed.03_14_2020","deaths.03_14_2020","recovered.03_14_2020","confirmed.03_15_2020","deaths.03_15_2020","recovered.03_15_2020","confirmed.03_16_2020","deaths.03_16_2020","recovered.03_16_2020","confirmed.03_17_2020","deaths.03_17_2020","recovered.03_17_2020","confirmed.03_18_2020","deaths.03_18_2020","recovered.03_18_2020","confirmed.03_19_2020","deaths.03_19_2020","recovered.03_19_2020","confirmed.03_20_2020","deaths.03_20_2020","recovered.03_20_2020","confirmed.03_21_2020","deaths.03_21_2020","recovered.03_21_2020","confirmed.03_22_2020","deaths.03_22_2020","recovered.03_22_2020","confirmed.03_23_2020","deaths.03_23_2020","recovered.03_23_2020","confirmed.03_24_2020","deaths.03_24_2020","recovered.03_24_2020","confirmed.03_25_2020","deaths.03_25_2020","recovered.03_25_2020","confirmed.03_26_2020","deaths.03_26_2020","recovered.03_26_2020","confirmed.03_27_2020","deaths.03_27_2020","recovered.03_27_2020","confirmed.03_28_2020","deaths.03_28_2020","recovered.03_28_2020","confirmed.03_29_2020","deaths.03_29_2020","recovered.03_29_2020","confirmed.03_30_2020","deaths.03_30_2020","recovered.03_30_2020","confirmed.03_31_2020","deaths.03_31_2020","recovered.03_31_2020","confirmed.04_01_2020","deaths.04_01_2020","recovered.04_01_2020"
"Hong Kong","HKG",NA,NA,NA,NA,2,NA,NA,2,NA,NA,5,NA,NA,8,NA,NA,8,NA,NA,8,NA,NA,10,NA,NA,10,NA,NA,12,NA,NA,13,0,0,15,0,0,15,0,0,17,1,0,21,1,0,24,1,0,25,1,0,26,1,0,29,1,0,38,1,0,49,1,0,50,1,1,53,1,1,56,1,1,56,1,1,57,1,2,60,1,2,62,1,2,63,2,5,68,2,6,68,2,5,69,2,6,74,2,11,79,2,19,84,2,19,91,2,24,92,2,24,94,2,30,95,2,33,96,2,36,100,2,36,100,2,37,105,2,37,105,2,43,107,2,46,108,2,51,114,3,58,115,3,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Japan","JPN",NA,2,NA,NA,1,NA,NA,2,NA,NA,2,NA,NA,4,NA,1,4,NA,1,7,NA,1,7,NA,1,11,NA,1,15,NA,1,20,0,1,20,0,1,20,0,1,22,0,1,22,0,1,45,0,1,25,0,1,25,0,1,26,0,1,26,0,4,26,0,9,28,0,9,28,1,9,29,1,9,43,1,12,59,1,12,66,1,12,74,1,13,84,1,18,94,1,18,105,1,22,122,1,22,147,1,22,159,1,22,170,1,22,189,2,22,214,4,22,228,4,22,241,5,32,256,6,32,274,6,32,293,6,43,331,6,43,360,6,43,420,6,46,461,6,76,502,6,76,511,17,76,581,10,101,639,15,118,639,16,118,701,19,118,773,22,118,839,22,118,825,27,144,878,29,144,889,29,144,924,29,150,963,33,191,1007,35,232,1086,36,235,1128,42,235,1193,43,285,1307,45,310,1387,47,359,1468,49,372,1693,52,404,1866,54,424,1866,54,424,1953,56,424,2178,57,472
"Macau","MAC",NA,1,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,5,NA,NA,6,NA,NA,7,NA,NA,7,NA,NA,7,NA,NA,7,NA,NA,7,0,0,8,0,0,8,0,0,10,0,0,10,0,0,10,0,1,10,0,1,10,0,1,10,0,1,10,0,1,10,0,1,10,0,2,10,0,3,10,0,3,10,0,3,10,0,5,10,0,5,10,0,5,10,0,5,10,0,6,10,0,6,10,0,6,10,0,6,10,0,6,10,0,7,10,0,7,10,0,8,10,0,8,10,0,8,10,0,8,10,0,8,10,0,9,10,0,9,10,0,9,10,0,10,10,0,10,10,0,10,10,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mainland China","CHN",NA,23.7826086956522,17,28,22.8214285714286,9,15,31.5862068965517,8.66666666666667,7.2,46.6333333333333,14,6.5,68.7333333333333,11.2,8.16666666666667,95.4333333333333,11.7142857142857,8.28571428571429,183.133333333333,18.7142857142857,12.625,202.333333333333,16.625,7.5,262.064516129032,21.375,7.10526315789474,315.58064516129,26.625,10.1904761904762,382.935483870968,8.35483870967742,8.87096774193548,535.709677419355,11.6451612903226,14.9354838709677,635.258064516129,13.7096774193548,19.8064516129032,763.870967741935,15.8064516129032,27.1935483870968,884.161290322581,18.1290322580645,35.9677419354839,985.58064516129,20.3870967741935,47.6129032258064,1099.1935483871,23.1290322580645,64.4516129032258,1186.38709677419,25.9354838709677,83.7096774193548,1283.54838709677,29.1612903225806,103.806451612903,1364.70967741935,32.6129032258064,126.354838709677,1429.90322580645,35.8387096774194,149.516129032258,1441.90322580645,36,163.838709677419,1930.06451612903,44.1290322580645,200.41935483871,2138.45161290323,49.0322580645161,257.193548387097,2204.74193548387,53.6129032258064,299.806451612903,2272.45161290323,56.9354838709677,346.709677419355,2334.32258064516,60.0967741935484,401.774193548387,2391.58064516129,64.5806451612903,458.032258064516,2404.70967741935,68.1935483870968,514.58064516129,2419.32258064516,72.1290322580645,580.709677419355,2434.58064516129,72.1290322580645,603,2481.35483870968,78.741935483871,731.838709677419,2481.87096774194,78.8064516129032,747.41935483871,2488.77419354839,83.6451612903226,806.129032258065,2505.16129032258,85.9032258064516,891.935483870968,2518.22580645161,87.5806451612903,969.451612903226,2532.1935483871,88.5161290322581,1061.22580645161,2542.70967741935,89.9354838709677,1170.67741935484,2556.48387096774,91.4516129032258,1267.06451612903,2575.03225806452,92.5806451612903,1358.64516129032,2581.48387096774,93.9354838709677,1445.48387096774,2585.51612903226,95,1529.16129032258,2589.38709677419,96.1612903225806,1611.45161290323,2594.25806451613,97.1935483870968,1685.16129032258,2599.12903225806,98.1290322580645,1738.32258064516,2601.67741935484,99.0322580645161,1789.61290322581,2603.1935483871,99.9032258064516,1849.03225806452,2604.35483870968,100.645161290323,1894.67741935484,2605.06451612903,101.161290322581,1938.90322580645,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Korea","KOR",NA,1,NA,NA,1,NA,NA,2,NA,NA,2,NA,NA,3,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,11,NA,NA,12,0,0,15,0,0,15,0,0,16,0,0,19,0,0,23,0,0,24,0,1,24,0,1,25,0,3,27,0,3,28,0,3,28,0,7,28,0,7,28,0,7,28,0,9,29,0,9,30,0,10,31,0,12,31,0,12,104,1,16,204,2,16,433,2,16,602,6,18,833,8,18,977,10,22,1261,12,22,1766,13,22,2337,13,22,3150,16,27,3736,17,30,4335,28,30,5186,28,30,5621,35,41,6088,35,41,6593,42,135,7041,44,135,7314,50,118,7478,53,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taiwan","TWN",NA,1,NA,NA,1,NA,NA,3,NA,NA,3,NA,NA,4,NA,NA,5,NA,NA,8,NA,NA,8,NA,NA,9,NA,NA,10,NA,NA,10,0,0,10,0,0,10,0,0,11,0,0,11,0,0,16,0,1,16,0,1,17,0,1,18,0,1,18,0,1,18,0,1,18,0,1,18,0,1,18,0,2,18,0,2,20,1,2,22,1,2,22,1,2,23,1,2,24,1,2,26,1,2,26,1,2,28,1,2,30,1,5,31,1,5,32,1,5,32,1,5,34,1,6,39,1,9,40,1,9,41,1,12,42,1,12,42,1,12,44,1,12,45,1,12,45,1,12,45,1,13,45,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thailand","THA",NA,2,NA,NA,3,NA,NA,5,NA,NA,7,NA,NA,8,NA,2,8,NA,2,14,NA,5,14,NA,5,14,NA,5,19,NA,5,19,0,5,19,0,5,19,0,5,25,0,5,25,0,5,25,0,5,25,0,5,32,0,10,32,0,10,32,0,10,33,0,10,33,0,10,33,0,12,33,0,12,33,0,12,34,0,14,35,0,15,35,0,15,35,0,15,35,0,15,35,0,17,35,0,17,35,0,21,35,0,21,37,0,22,40,0,22,40,0,22,41,0,28,42,0,28,42,1,28,43,1,31,43,1,31,43,1,31,47,1,31,48,1,31,50,1,31,50,1,31,50,1,31,53,1,33,59,1,34,70,1,34,75,1,35,82,1,35,114,1,35,147,1,35,177,1,41,212,1,42,272,1,42,322,1,42,411,1,42,599,1,44,721,1,52,827,4,52,934,4,70,1045,4,88,1136,5,97,1245,6,97,1388,7,97,1524,9,229,1651,10,342,1771,12,505
"US","USA",NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1.25,NA,NA,1.25,NA,NA,1.25,NA,NA,1.25,NA,NA,1.25,NA,NA,1.5,NA,NA,1.14285714285714,0,0,1.14285714285714,0,0,1.375,0,0,1.375,0,0,1.33333333333333,0,0,1.33333333333333,0,0,1.33333333333333,0,0,1.33333333333333,0,0,1.33333333333333,0,0.333333333333333,1.33333333333333,0,0.333333333333333,1.3,0,0.3,1.3,0,0.3,1.36363636363636,0,0.272727272727273,1.36363636363636,0,0.272727272727273,1.36363636363636,0,0.272727272727273,1.36363636363636,0,0.272727272727273,1.36363636363636,0,0.272727272727273,1.36363636363636,0,0.272727272727273,1.36363636363636,0,0.272727272727273,1.36363636363636,0,0.272727272727273,2.1875,0,0.3125,2.1875,0,0.3125,2.1875,0,0.3125,3.11764705882353,0,0.294117647058824,3.11764705882353,0,0.352941176470588,3.47058823529412,0,0.352941176470588,3.52941176470588,0,0.352941176470588,3.64705882352941,0,0.411764705882353,3.68421052631579,0.0526315789473684,0.368421052631579,3.8,0.05,0.35,3.60714285714286,0.214285714285714,0.25,3.58823529411765,0.205882352941176,0.235294117647059,4.37142857142857,0.314285714285714,0.228571428571429,5.02272727272727,0.272727272727273,0.181818181818182,4.63333333333333,0.233333333333333,0.133333333333333,5.08536585365854,0.207317073170732,0.0975609756097561,5.06603773584906,0.19811320754717,0.0754716981132075,5.21551724137931,0.189655172413793,0.0689655172413793,18.4423076923077,0.538461538461538,0.153846153846154,24.6346153846154,0.692307692307692,0.153846153846154,31.9807692307692,0.769230769230769,0.230769230769231,41.1132075471698,0.886792452830189,0.226415094339623,50.4814814814815,1,0.222222222222222,62.4821428571429,1.125,0.214285714285714,82.7142857142857,1.51785714285714,0.303571428571429,114.660714285714,1.92857142857143,0.303571428571429,134.241379310345,2.03448275862069,1.82758620689655,235.862068965517,3.44827586206897,1.86206896551724,335.105263157895,4.28070175438596,2.57894736842105,447.245614035088,5.3859649122807,3,10.6186280679673,0.134361233480176,0,13.7360805284681,0.173639509279648,0,16.9100062932662,0.222152297042165,0.109502831969792,20.7044381491974,0.296506137865911,0.11362920994649,26.4133585381222,0.380907372400756,0.214555765595463,31.9575605155611,0.49701351776171,0.273184533165671,38.2246696035242,0.637507866582756,0.337319068596602,44.2759270898806,0.775298554368322,0.83752357008171,50.7868801004394,0.934714375392341,1.7715003138732,86.357044515833,1.77742083524553,3.22349701698027,95.6825112107623,2.13318385650224,3.8
"Mainland China","CHN","Anhui",1,NA,NA,9,NA,NA,15,NA,NA,39,NA,NA,60,NA,NA,70,NA,NA,106,NA,NA,152,NA,2,200,NA,2,237,NA,3,297,0,5,340,0,7,408,0,14,480,0,20,530,0,23,591,0,34,665,0,47,733,0,59,779,1,72,830,3,88,860,4,105,889,4,127,910,5,157,934,6,193,950,6,221,962,6,255,973,6,280,982,6,361,986,6,413,987,6,474,988,6,539,989,6,597,989,6,637,989,6,663,989,6,712,989,6,744,989,6,792,990,6,821,990,6,868,990,6,873,990,6,917,990,6,936,990,6,956,990,6,970,990,6,979,990,6,979,990,6,984,990,6,984,990,6,984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mainland China","CHN","Beijing",14,NA,NA,22,NA,NA,36,NA,1,41,NA,2,68,NA,2,80,1,2,91,1,4,111,1,4,114,1,4,139,1,5,168,1,9,191,1,9,212,1,12,228,1,23,253,1,24,274,1,31,297,1,33,315,2,34,326,2,37,337,2,44,342,3,48,352,3,56,366,3,69,372,3,80,375,4,98,380,4,108,381,4,114,387,4,122,393,4,145,395,4,153,396,4,169,399,4,178,399,4,189,399,4,198,400,4,215,400,4,235,410,5,248,410,7,257,411,8,271,413,8,276,414,8,282,414,8,288,418,8,297,418,8,297,422,8,299,426,8,303,428,8,308,428,8,315,429,8,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
